search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"tuna uncooked",1,"Raw tuna steak | High-Quality Food ...","https://creativemarket.com/grafvision/1341288-Raw-tuna-steak","https://cmkt-image-prd.freetls.fastly.net/0.1.0/ps/2413531/910/1365/m2/fpnw/wm1/reqovxyeekzxnq74iqklecgvfzoduxqom89ma1shqvhfwcq7kxldxdwz8qzpoutx-.jpg?1489603003&s=f48a8c6a9c407867f288379b1c4f51ee",1820,2730,
"tuna uncooked",2,"Raw Tuna Steak Ready For Cooking Stock ...","https://www.123rf.com/photo_128923775_raw-tuna-steak-ready-for-cooking.html","https://previews.123rf.com/images/andreyst/andreyst1908/andreyst190803165/128923775-raw-tuna-steak-ready-for-cooking.jpg",1300,866,
"tuna uncooked",3,"Raw Tuna Steak At Plate Stock Photo ...","https://www.123rf.com/photo_10492110_fresh-and-raw-tuna-steak-at-plate.html","https://previews.123rf.com/images/baloncici/baloncici1109/baloncici110900046/10492110-fresh-and-raw-tuna-steak-at-plate.jpg",1300,866,
"tuna uncooked",4,"Raw Tuna Steak Stock Photos & Raw Tuna ...","https://www.alamy.com/stock-photo/raw-tuna-steak.html","https://c8.alamy.com/comp/E18515/large-fresh-and-raw-yellowfin-tuna-steak-E18515.jpg",1300,957,
"tuna uncooked",5,"Single fresh raw yellowfin tuna steak ...","https://elements.envato.com/single-fresh-raw-yellowfin-tuna-steak-283VXRA","https://envato-shoebox-0.imgix.net/f425/6a5c-00d5-4910-9984-c80712e97e39/2190331-004.jpg?auto=compress%2Cformat&fit=max&mark=https%3A%2F%2Felements-assets.envato.com%2Fstatic%2Fwatermark2.png&markalign=center%2Cmiddle&markalpha=18&w=700&s=7290e4f77c2f60d0491bea8a5955745f",700,467,
"tuna uncooked",6,"Fresh uncooked tuna fillet Stock Photo ...","https://www.alamy.com/stock-photo-fresh-uncooked-tuna-fillet-73526060.html","https://c8.alamy.com/comp/E7HB6M/fresh-uncooked-tuna-fillet-E7HB6M.jpg",1300,941,
"tuna uncooked",7,"Raw Yellowfin Tuna Steaks Isolated On A ...","https://www.123rf.com/photo_82972435_raw-yellowfin-tuna-steaks-isolated-on-a-white-background.html","https://previews.123rf.com/images/saddako/saddako1707/saddako170700098/82972435-raw-yellowfin-tuna-steaks-isolated-on-a-white-background.jpg",1300,1150,
"tuna uncooked",8,"Raw Tuna Steak On Wooden Cutboard Stock ...","https://www.123rf.com/photo_64891396_raw-tuna-steak-on-wooden-cutboard.html","https://previews.123rf.com/images/patrykkosmider/patrykkosmider1610/patrykkosmider161000108/64891396-raw-tuna-steak-on-wooden-cutboard.jpg",1300,866,
"tuna uncooked",9,"Histamine outbreaks could increase in ...","https://www.foodsafetynews.com/2019/06/histamine-outbreaks-could-increase-in-europe/","https://www.foodsafetynews.com/files/2019/04/rawtuna_1000x565.jpg",1000,565,
"tuna uncooked",10,"Ginger-Soy Marinated Ahi Tuna with ...","https://theheritagecook.com/ginger-soy-marinated-ahi-tuna-with-wasabi-aioli-for-festive-friday/","https://theheritagecook.com/wp-content/uploads/2012/01/Raw-Ahi-Tuna-Steaks2-iStock.jpg",700,484,
